                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.48781,                0.74563,                0.54155,                0.97897,                 0.8754,                 0.8185,                0.86446,                0.70395,                0.87205,                 0.8153,                0.85693,                0.70968,                0.79532,                 1.2325,                0.91444,                 1.2583,               0.000208,               0.000208,               0.000208
                     82,                0.48678,                0.73483,                0.53819,                0.97141,                0.86409,                0.81853,                0.87317,                0.71166,                0.85938,                0.81033,                0.86721,                0.71801,                0.78746,                 1.2476,                0.89029,                  1.266,              0.0001981,              0.0001981,              0.0001981
                     83,                0.46849,                0.73009,                0.54181,                0.95784,                0.88074,                0.79534,                0.86748,                0.69511,                0.87792,                0.79235,                0.85963,                0.70983,                0.80803,                 1.2876,                0.90013,                 1.2742,              0.0001882,              0.0001882,              0.0001882
                     84,                0.47273,                0.71741,                 0.5105,                0.96405,                0.91357,                0.78269,                0.86906,                0.70577,                0.90899,                0.78005,                0.86793,                0.71366,                0.79884,                 1.2874,                0.89627,                 1.2825,              0.0001783,              0.0001783,              0.0001783
                     85,                  0.466,                0.73843,                0.50997,                0.96312,                0.89894,                0.80681,                0.87627,                 0.7069,                0.85614,                0.84386,                0.87707,                 0.7246,                0.79191,                 1.2575,                0.86809,                  1.277,              0.0001684,              0.0001684,              0.0001684
                     86,                0.46839,                0.76624,                0.52774,                0.97109,                0.88891,                0.80789,                0.87439,                0.70156,                0.88891,                0.80789,                0.87073,                0.71336,                0.80356,                 1.2026,                0.89045,                 1.2948,              0.0001585,              0.0001585,              0.0001585
                     87,                0.45724,                0.67008,                 0.4903,                0.95154,                0.87182,                0.86527,                0.88047,                0.71363,                0.86875,                0.86215,                0.87853,                0.72802,                0.77183,                  1.184,                0.87086,                 1.2654,              0.0001486,              0.0001486,              0.0001486
                     88,                0.45823,                0.66863,                0.48771,                0.96422,                 0.8641,                0.83227,                 0.8741,                0.70665,                0.85088,                0.82675,                0.86449,                0.71623,                0.76966,                 1.2254,                0.91131,                 1.2432,              0.0001387,              0.0001387,              0.0001387
                     89,                0.44444,                 0.6468,                0.47753,                0.95642,                0.85886,                0.83602,                0.87492,                0.71546,                0.85105,                0.82638,                0.86721,                0.71717,                0.77746,                 1.2371,                0.89618,                 1.2464,              0.0001288,              0.0001288,              0.0001288
                     90,                0.45141,                0.66573,                0.48495,                0.95794,                0.86106,                0.82395,                0.86369,                0.71889,                0.85432,                0.81187,                0.86004,                0.72519,                0.77057,                 1.2632,                 0.9104,                 1.2505,              0.0001189,              0.0001189,              0.0001189
